Event	ID	Name			Wwise Object Path	Notes
	91396763	Jump_End_Sound			\Default Work Unit\Player\Movement\Jump\Jump_End_Sound	
	317146745	God_Sound			\Default Work Unit\Player\PowerUps\God_Sound	
	360162196	Jump_Start_Sound			\Default Work Unit\Player\Movement\Jump\Jump_Start_Sound	
	569059386	Footsteps_Sound			\Default Work Unit\Player\Movement\Footsteps_Sound	
	747939538	Fireball_Explosion_Sound			\Default Work Unit\Player\Attack\Fireball\Fireball_Explosion_Sound	
	881781992	Player_Hit_Sound			\Default Work Unit\Player\Status\Player_Hit_Sound	
	1917108413	Player_Death_Sound			\Default Work Unit\Player\Status\Player_Death_Sound	
	2103127106	Player_Energy_Level			\Default Work Unit\Player\Status\Player_Energy_Level	
	2477428053	Greatsword_Hit_Sound			\Default Work Unit\Player\Attack\Greatsword\Greatsword_Hit_Sound	
	2948466998	Greatsword_Miss_Sound			\Default Work Unit\Player\Attack\Greatsword\Greatsword_Miss_Sound	
	2999782785	Holy_Blessing_Sound			\Default Work Unit\Player\Attack\Holy Blessing\Holy_Blessing_Sound	
	3285099497	Bow_Nock			\Default Work Unit\Player\Attack\Bow\Bow_Nock	
	3352646037	Berserk_Sound			\Default Work Unit\Player\PowerUps\Berserk_Sound	
	3411795206	PU_Not_Ready_Sound			\Default Work Unit\Player\PowerUps\PU_Not_Ready_Sound	
	3821338389	Bow_Release			\Default Work Unit\Player\Attack\Bow\Bow_Release	
	3877805888	Fireball_Cast_Sound			\Default Work Unit\Player\Attack\Fireball\Fireball_Cast_Sound	
	4292314254	Inferno_Sound			\Default Work Unit\Player\PowerUps\Inferno_Sound	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3743914789	Player_Energy			\Default Work Unit\Player_Energy	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	56625941	Jump_Start	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Jump_Feet_DEFFE894.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Jump\Jump_Start		41462
	93672808	Arrow whoosh	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Arrow whoosh_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Bow\Bow_Release\Arrow whoosh		53676
	113200757	footsteps_shoe_concrete_walk_02	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\footsteps_shoe_concrete_walk_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footsteps\footsteps_shoe_concrete_walk_02		16952
	275099248	Fireball_Explosion_Sub	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Fireball_Explosion_Sub_6DB9D2A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Fireball\Fireball_Explosion\Fireball_Explosion_Sub		245452
	353649942	Player_Low_Energy	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\voice_male_breathing_01_EC1A3ACD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Status\Player_Low_Energy		103584
	354337673	I'm God	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\I'm God_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PowerUp\I'm God		206372
	355140042	Jump_End	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\FTSP DG 3_5BC9E8DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Jump\Jump_End		35364
	399908424	Sword Miss	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\interaction_whoosh_medium_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Greatsword\Sword Miss		26368
	407042502	Sword Hit	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Sword 1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Greatsword\Sword Hit		134628
	443426476	Bow_Whoosh	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Nock and fire_2B145934.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Bow\Bow_Release\Bow_Whoosh		7078
	445547432	Fireball_Explosion_Blast	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Fireball_Explosion_Blast_7E91D02C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Fireball\Fireball_Explosion\Fireball_Explosion_Blast		307136
	521075056	Weird arrow	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Weird arrow_0323ACF1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Bow\Bow_Release\Weird arrow		20820
	600108248	Not Ready Yet	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Not Ready Yet_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PowerUp\Not Ready Yet		241728
	606032463	voice_male_01_hurt_03	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\voice_male_01_hurt_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Status\Hit\Player_Hit_Sound\Player_Hurt\voice_male_01_hurt_03		35614
	635788392	Holy_Blessing_Sound	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Choir in E_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Holy Blessing\Holy_Blessing_Sound		529264
	694730701	voice_male_01_hurt_01	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\voice_male_01_hurt_01_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Status\Hit\Player_Hit_Sound\Player_Hurt\voice_male_01_hurt_01		61214
	800916686	Inferno	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Inferno_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PowerUp\Inferno		241728
	812943465	Bow_Nock	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Nock and fire_F6C23EBA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Bow\Bow_Nock		67294
	818547509	Fireball_Start	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Fireball_Start_5A99E570.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Fireball\Fireball_Start		125600
	833082251	Player_Blood	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Sound Effects - Blood Gore Carnage and Tearing Flesh_E9D7723A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Status\Hit\Player_Hit_Sound\Player_Blood		135296
	850359258	Player_Death_Sound	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\voice_male_02_death_03_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Status\Player_Death_Sound		116750
	851860679	Fireball_Explosion	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Fireball_Explosion_2F6FE3D1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Attack\Fireball\Fireball_Explosion\Fireball_Explosion		374640
	929171571	Dark Growl	C:\Users\feara\Documents\Unreal Projects\Unlevelling\Unleveling_Wwise\.cache\Linux\SFX\Dark Growl_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PowerUp\Dark Growl		206372

